U+7325,猥
U+7329,猩
U+732F,猯
U+7334,猴
U+733E,猾
U+734E,獎
U+734F,獏
U+7357,獗
U+7368,獨
U+736A,獪
U+7370,獰
U+7375,獵
U+7378,獸
U+737A,獺
U+737B,獻
U+73B3,玳
U+73BB,玻
U+73C0,珀
U+73C8,珈
U+73CE,珎
U+73DE,珞
U+73E5,珥
U+73EE,珮
U+73F1,珱
U+73F8,珸
U+7405,琅
U+7425,琥
U+7432,琲
U+743A,琺
U+743F,琿
U+7441,瑁
U+7455,瑕
U+7459,瑙
U+745C,瑜
U+745F,瑟
U+7463,瑣
U+7464,瑤
U+7469,瑩
U+746A,瑪
U+746F,瑯
U+7470,瑰
U+7476,瑶
U+747E,瑾
U+748B,璋
U+749E,璞
