U+66DD,曝
U+66F2,曲
U+66F3,曳
U+66F4,更
U+66F8,書
U+66F9,曹
U+66FD,曽
U+66FE,曾
U+66FF,替
U+6700,最
U+6708,月
U+6709,有
U+670B,朋
U+670D,服
U+6714,朔
U+6715,朕
U+6717,朗
U+671B,望
U+671D,朝
U+671F,期
U+6728,木
U+672A,未
U+672B,末
U+672C,本
U+672D,札
U+6731,朱
U+6734,朴
U+673A,机
U+673D,朽
U+6749,杉
U+674E,李
U+674F,杏
U+6750,材
U+6751,村
U+6753,杓
U+6756,杖
U+675C,杜
U+675F,束
U+6761,条
U+6762,杢
U+6765,来
U+676D,杭
U+676F,杯
U+6771,東
U+6775,杵
U+6777,杷
U+677E,松
U+677F,板
U+6787,枇
U+6790,析
U+6795,枕
U+6797,林
U+679A,枚
U+679C,果
U+679D,枝
U+67A0,枠
U+67A2,枢
U+67AF,枯
U+67B6,架
U+67C1,柁
U+67C4,柄
U+67CA,柊
U+67CF,柏
U+67D0,某
U+67D1,柑
U+67D3,染
U+67D4,柔
U+67D8,柘
U+67DA,柚
U+67F1,柱
U+67F3,柳
U+67F4,柴
U+67F5,柵
U+67FB,査
U+67FE,柾
U+67FF,柿
U+6802,栂
U+6803,栃
U+6804,栄
U+6813,栓
U+6816,栖
U+6817,栗
U+6821,校
U+6822,栢
U+682A,株
U+6834,栴
U+6838,核
U+6839,根
U+683C,格
U+683D,栽
U+6841,桁
U+6842,桂
U+6843,桃
U+6848,案
U+6850,桐
U+6851,桑
U+6853,桓
U+6854,桔
U+685C,桜
U+685D,桝
U+685F,桟
U+6867,桧
U+6876,桶
U+6881,梁
U+6885,梅
U+6893,梓
U+6897,梗
U+68A2,梢
U+68A7,梧
U+68A8,梨
U+68AF,梯
U+68B0,械
U+68B1,梱
U+68B6,梶
U+68BC,梼
U+68C4,棄
U+68C9,棉
U+68CB,棋
U+68D2,棒
U+68DA,棚
U+68DF,棟
U+68EE,森
U+68F2,棲
U+68FA,棺
U+6900,椀
U+6905,椅
U+690B,椋
U+690D,植
U+690E,椎
U+6919,椙
U+691B,椛
U+691C,検
U+6934,椴
U+693F,椿
U+694A,楊
U+6953,楓
U+6955,楕
U+695A,楚
U+6960,楠
U+6962,楢
U+696D,業
U+696F,楯
U+6973,楳
U+6975,極
U+697C,楼
U+697D,楽
U+6982,概
U+698A,榊
U+698E,榎
U+6994,榔
U+699B,榛
U+69CB,構
U+69CC,槌
U+69CD,槍
U+69D8,様
U+69D9,槙
U+69FB,槻
U+69FD,槽
U+6A0B,樋
U+6A17,樗
U+6A19,標
U+6A1F,樟
U+6A21,模
U+6A29,権
U+6A2A,横
U+6A2B,樫
U+6A35,樵
U+6A39,樹
U+6A3A,樺
U+6A3D,樽
U+6A4B,橋
U+6A58,橘
U+6A5F,機
U+6A61,橡
U+6A7F,橿
U+6A80,檀
U+6A8E,檎
U+6AD3,櫓
U+6ADB,櫛
U+6AE8,櫨
U+6B04,欄
U+6B1D,欝
U+6B20,欠
U+6B21,次
U+6B23,欣
U+6B27,欧
U+6B32,欲
U+6B3A,欺
U+6B3D,欽
U+6B3E,款
U+6B4C,歌
U+6B4E,歎
U+6B53,歓
U+6B62,止
U+6B63,正
U+6B64,此
U+6B66,武
U+6B69,歩
U+6B6A,歪
U+6B6F,歯
U+6B73,歳
U+6B74,歴
U+6B7B,死
U+6B86,殆
U+6B89,殉
U+6B8A,殊
U+6B8B,残
U+6B96,殖
U+6BB4,殴
U+6BB5,段
U+6BBA,殺
U+6BBB,殻
U+6BBF,殿
U+6BC5,毅
U+6BCD,母
U+6BCE,毎
U+6BD2,毒
U+6BD4,比
U+6BD8,毘
U+6BDB,毛
U+6C0F,氏
U+6C11,民
U+6C17,気
U+6C34,水
U+6C37,氷
U+6C38,永
U+6C3E,氾
U+6C40,汀
U+6C41,汁
U+6C42,求
U+6C4E,汎
U+6C50,汐
U+6C57,汗
U+6C5A,汚
U+6C5D,汝
U+6C5F,江
U+6C60,池
U+6C70,汰
U+6C72,汲
U+6C7A,決
U+6C7D,汽
U+6C83,沃
U+6C88,沈
U+6C8C,沌
U+6C93,沓
U+6C96,沖
U+6C99,沙
U+6CA1,没
U+6CA2,沢
U+6CAB,沫
U+6CB3,河
U+6CB8,沸
U+6CB9,油
U+6CBB,治
U+6CBC,沼
U+6CBF,沿
U+6CC1,況
U+6CC9,泉
U+6CCA,泊
U+6CCC,泌
U+6CD5,法
U+6CE1,泡
U+6CE2,波
U+6CE3,泣
U+6CE5,泥
U+6CE8,注
U+6CF0,泰
U+6CF3,泳
U+6D0B,洋
U+6D17,洗
U+6D1B,洛
U+6D1E,洞
U+6D25,津
U+6D29,洩
U+6D2A,洪
U+6D32,洲
U+6D3B,活
U+6D3E,派
U+6D41,流
U+6D44,浄
U+6D45,浅
U+6D5C,浜
U+6D66,浦
U+6D69,浩
U+6D6A,浪
U+6D6C,浬
U+6D6E,浮
U+6D74,浴
U+6D77,海
U+6D78,浸
U+6D88,消
U+6D8C,涌
U+6D99,涙
U+6D9B,涛
U+6D9C,涜
U+6DAF,涯
U+6DB2,液
U+6DBC,涼
U+6DC0,淀
U+6DCB,淋
U+6DD1,淑
U+6DD8,淘
U+6DE1,淡
U+6DEB,淫
U+6DF1,深
U+6DF3,淳
U+6DF5,淵
U+6DF7,混
U+6DFB,添
U+6E05,清
U+6E07,渇
U+6E08,済
U+6E09,渉
U+6E0B,渋
U+6E13,渓
U+6E1A,渚
U+6E1B,減
U+6E20,渠
U+6E21,渡
U+6E25,渥
U+6E26,渦
U+6E29,温
U+6E2C,測
U+6E2F,港
U+6E4A,湊
U+6E56,湖
U+6E58,湘
U+6E5B,湛
U+6E67,湧
U+6E6F,湯
U+6E7E,湾
U+6E7F,湿
U+6E80,満
U+6E8C,溌
U+6E90,源
U+6E96,準
U+6E9C,溜
U+6E9D,溝
U+6EA2,溢
U+6EB6,溶
U+6EBA,溺
U+6EC5,滅
U+6ECB,滋
U+6ED1,滑
U+6EDD,滝
U+6EDE,滞
U+6EF4,滴
U+6F01,漁
U+6F02,漂
U+6F06,漆
U+6F09,漉
U+6F0F,漏
U+6F14,演
U+6F15,漕
U+6F20,漠
U+6F22,漢
U+6F23,漣
U+6F2B,漫
U+6F2C,漬
U+6F38,漸
U+6F45,潅
U+6F54,潔
U+6F5C,潜
U+6F5F,潟
U+6F64,潤
U+6F6E,潮
U+6F70,潰
U+6F84,澄
U+6F97,澗
U+6FB1,澱
U+6FC0,激
U+6FC1,濁
U+6FC3,濃
U+6FE0,濠
U+6FE1,濡
U+6FEB,濫
U+6FEF,濯
U+7015,瀕
U+701E,瀞
U+7026,瀦
U+7027,瀧
U+702C,瀬
U+7058,灘
U+706B,火
U+706F,灯
U+7070,灰
U+7078,灸
U+707C,灼
U+707D,災
U+7089,炉
U+708A,炊
U+708E,炎
U+70AD,炭
U+70B9,点
U+70BA,為
U+70C8,烈
U+70CF,烏
U+70F9,烹
U+7114,焔
U+711A,焚
U+7121,無
U+7126,焦
U+7136,然
U+713C,焼
U+7149,煉
U+714E,煎
U+7159,煙
U+7164,煤
U+7167,照
U+7169,煩
U+716E,煮
U+717D,煽
U+718A,熊
U+7194,熔
U+719F,熟
U+71B1,熱
U+71C3,燃
U+71C8,燈
U+71D0,燐
U+71D5,燕
U+71E5,燥
U+71E6,燦
U+71ED,燭
U+7206,爆
U+722A,爪
U+7235,爵
U+7236,父
U+723A,爺
U+723D,爽
U+723E,爾
U+7247,片
U+7248,版
U+724C,牌
U+7252,牒
U+7259,牙
U+725B,牛
U+725D,牝
U+725F,牟
U+7261,牡
U+7262,牢
U+7267,牧
U+7269,物
U+7272,牲
U+7279,特
U+727D,牽
U+7280,犀
U+72A0,犠
U+72AC,犬
U+72AF,犯
U+72B6,状
U+72C2,狂
U+72D0,狐
