U+8E23,踣
U+8E3D,踽
U+8E70,蹰
U+8E7B,蹻
U+8EC0,軀
U+8EFA,軺
U+8F1E,輞
U+8F2D,輭
U+8F36,輶
U+8F54,轔
U+8FA6,辦
U+8FB5,辵
U+8FE4,迤
U+8FE8,迨
U+8FEE,迮
U+9008,逈
U+902D,逭
U+9088,邈
U+9095,邕
U+9097,邗
U+9099,邙
U+909B,邛
U+90A2,邢
U+90B3,邳
U+90BE,邾
U+90C4,郄
U+90C5,郅
U+90C7,郇
U+90D7,郗
U+90DD,郝
U+90DE,郞
U+90EF,郯
U+90F4,郴
U+9114,鄔
U+9115,鄕
U+9116,鄖
U+9122,鄢
U+9123,鄣
U+9127,鄧
U+912F,鄯
U+9131,鄱
U+9134,鄴
U+913D,鄽
U+9148,酈
U+915B,酛
U+9183,醃
U+919E,醞
U+91AC,醬
U+91B1,醱
U+91BC,醼
U+91D7,釗
U+91E4,釤
U+91E5,釥
U+91ED,釭
U+91F1,釱
U+91FB,釻
U+9207,鈇
U+9210,鈐
U+9238,鈸
U+9239,鈹
U+923A,鈺
U+923C,鈼
U+9240,鉀
U+9243,鉃
U+924F,鉏
U+9278,鉸
U+9288,銈
U+92C2,鋂
U+92CB,鋋
U+92CC,鋌
U+92D3,鋓
U+92E0,鋠
U+92FF,鋿
U+9304,錄
U+931F,錟
U+9321,錡
U+9325,錥
U+9348,鍈
U+9349,鍉
U+934A,鍊
U+9364,鍤
U+9365,鍥
U+936A,鍪
U+9370,鍰
U+939B,鎛
U+93A3,鎣
U+93BA,鎺
U+93C6,鏆
U+93DE,鏞
U+93DF,鏟
U+93FD,鏽
U+9404,鐄
U+9433,鐳
U+944A,鑊
U+9463,鑣
U+946B,鑫
U+9471,鑱
U+9472,鑲
U+958E,閎
U+959F,閟
U+95A6,閦
U+95A9,閩
U+95AC,閬
U+95B6,閶
U+95BD,閽
U+95CB,闋
U+95D0,闐
U+95D3,闓
U+95DA,闚
U+95DE,闞
U+9658,陘
U+9684,隄
U+969D,隝
U+96A4,隤
U+96A5,隥
U+96D2,雒
U+96DE,雞
U+96E9,雩
U+96EF,雯
U+9733,霳
U+973B,霻
U+974D,靍
U+974E,靎
U+974F,靏
U+975A,靚
U+976E,靮
U+9773,靳
U+9795,鞕
U+97AE,鞮
U+97BA,鞺
U+97C1,韁
U+97C9,韉
U+97DB,韛
U+97DE,韞
U+97F4,韴
U+980A,頊
U+981E,頞
U+982B,頫
U+9830,頰
U+9852,顒
U+9853,顓
U+9856,顖
U+9857,顗
U+9859,顙
U+985A,顚
U+9865,顥
U+986C,顬
U+98BA,颺
U+98C8,飈
U+98E7,飧
U+9958,饘
U+999E,馞
U+9A02,騂
U+9A03,騃
U+9A24,騤
U+9A2D,騭
U+9A2E,騮
U+9A38,騸
U+9A4A,驊
U+9A4E,驎
U+9A52,驒
U+9AB6,骶
U+9AC1,髁
U+9AC3,髃
U+9ACE,髎
U+9AD6,髖
U+9AF9,髹
U+9B02,鬂
U+9B08,鬈
U+9B20,鬠
U+9B2D,鬭
U+9B5E,魞
U+9B66,魦
U+9B72,魲
U+9B75,魵
U+9B79,魹
U+9B84,鮄
U+9B8A,鮊
U+9B8F,鮏
U+9B9E,鮞
U+9BA7,鮧
U+9BC1,鯁
U+9BCE,鯎
U+9BE5,鯥
U+9BF8,鯸
U+9BFD,鯽
U+9C00,鰀
U+9C23,鰣
U+9C41,鱁
U+9C4F,鱏
U+9C50,鱐
U+9C53,鱓
U+9C63,鱣
U+9C65,鱥
